MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
13,9340.361,-3273.876,-4465.436,35,1,0,Bucket with a Hole
13,9519.473,-3161.707,-4465.436,35,1,0,Bucket with a Hole
13,11639.97,-3104.288,-4465.435,45,1,0,Bucket with a Hole
13,16284,-7020,-5922,57,1,0,Letter Bottle
13,3214.786,-4439.969,-4084,1123,1,26608,Kafra Quest Progress
13,-1764.761,-14814.65,-4100,1123,1,43028,Kafra Quest Progress
13,-7303.598,-23204.63,332,1123,1,26624,Kafra Quest Progress
13,-6499.238,-19566.37,-836,1123,1,26624,Kafra Quest Progress
13,-2733.447,-18794.96,356,1126,1,-6152,Cognito Mailbox
13,3594.941,-4680.214,-4092,1131,1,26608,Cognito Quest Board
13,-2027.503,-15178.84,-4108,1131,1,43028,Cognito Quest Board
13,-6935.456,-23433.01,316,1131,1,26624,Cognito Quest Board
13,-6748.954,-19384.15,-848,1131,1,26624,Cognito Quest Board
13,-5766.705,-6117.003,-4095.838,5005,1,43008,Bench
13,-3627.036,-6188.016,-4095.838,5005,1,10240,Bench
13,-6014.765,-6486.447,-4095.838,5005,1,43008,Bench
13,-3875.095,-6557.462,-4095.838,5005,1,10240,Bench
13,2026.559,-673.146,-4095.838,5005,1,26624,Bench
13,2396.003,-921.207,-4095.838,5005,1,26624,Bench
13,6688.849,-1035.928,-4095.838,5005,1,10240,Bench
13,6936.9,-666.49,-4095.838,5005,1,10240,Bench
