MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
12,7033.832,-16018.91,5044,1123,1,-103412,KafraMailBoxcog_f01_01_01
12,-8519.254,-21324.74,6088,1123,1,-94640,KafraMailBoxcog_f01_01_02
12,932.866,-27183.3,6108,1123,1,-30660,KafraMailBoxcog_f01_01_03
12,5172.799,-30431.7,6096,1123,1,-54284,KafraMailBoxcog_f01_01_04
12,6571.222,-15753.83,5040,1131,1,-103412,MissionBoardcog_01_01_01
12,-8086.29,-21152.53,6080,1131,1,-94640,MissionBoardcog_01_01_02
12,436.556,-27275.4,6096,1131,1,-30660,MissionBoardcog_01_01_03
12,5336.799,-30123.7,6088,1131,1,-54284,MissionBoardcog_01_01_04
12,9846.691,-18519.57,5296,38,1,60408,Item_48
12,-7834,-22550,6144,1126,1,14040,Chest
12,-2519.618,-20829.76,6083.689,1126,1,-5152,MailBox
