MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
5,10524,76588,5080,3,1,0,Table of Liquor Store
5,11171.52,77645.88,5016,1123,1,16392,Kafra Quest Progress
5,22357.88,81569.74,5016,1123,1,39844,Kafra Quest Progress
5,17740.15,93602.54,4176,1123,1,26040,Kafra Quest Progress
5,13703.58,98409.94,4176,1123,1,32776,Kafra Quest Progress
5,4968.79,86908.61,4172,1123,1,60,Kafra Quest Progress
5,17256.48,55648.41,9159.084,1123,1,36,Kafra Quest Progress
5,14424.12,77071.38,4988,1124,1,65516,Mailbox
5,11177.54,77093.04,5004,1127,1,16384,Prontera Quest Board
5,22710.7,81868.73,5004,1127,1,39836,Prontera Quest Board
5,18128.39,93318.58,4164,1127,1,26032,Prontera Quest Board
5,14096.47,98420.09,4168,1127,1,32768,Prontera Quest Board
5,4575.972,86896.4,4164,1127,1,52,Prontera Quest Board
5,16783.22,55635.7,9143.083,1127,1,28,Prontera Quest Board
5,16757.96,73626.41,5008,5000,1,57356,Chair
5,16965,73693.36,5008,5000,1,57356,Chair
5,10977.11,73784.4,5008,5000,1,26280,Chair
5,16610.18,73802.52,5008,5000,1,57356,Chair
5,11042.4,74006.77,5008,5000,1,24740,Chair
5,16755.2,73959.06,5008,5000,1,57356,Chair
5,10943.36,74158.23,5008,5000,1,25552,Chair
5,16624.72,75015.89,5008,5000,1,26624,Chair
5,16440.93,75171.13,5008,5000,1,26624,Chair
5,16781.74,75188.27,5008,5000,1,26624,Chair
5,10188.09,74698.51,5080,5000,1,24720,Chair
5,10014.92,74527.56,5080,5000,1,24720,Chair
5,10006.01,74035.29,5080,5000,1,24720,Chair
5,16601,75334.13,5008,5000,1,26624,Chair
5,9826.293,74227.02,5080,5000,1,24720,Chair
5,10185.2,75690.81,5080,5000,1,24720,Chair
5,9658.768,74044.1,5080,5000,1,24720,Chair
5,9992.108,75868.91,5080,5000,1,24720,Chair
5,9836.381,76218.46,5080,5000,1,24720,Chair
5,10028.1,76371.71,5080,5000,1,24720,Chair
5,9661.861,76394.07,5080,5000,1,24720,Chair
5,9848.065,76593.3,5080,5000,1,24720,Chair
5,13270.74,77845.37,5008,5000,1,26624,Chair
5,13093.05,78023.55,5008,5000,1,26624,Chair
5,13267.41,78186.31,5008,5000,1,26624,Chair
5,13475.36,78028.77,5008,5000,1,26624,Chair
5,14398.61,78627.86,5056,5000,1,26624,Chair
5,14516.49,78589.11,5056,5000,1,26624,Chair
5,13816.13,79124.27,5056,5000,1,26624,Chair
5,14495.29,79538.38,5056,5000,1,26624,Chair
5,13895.55,79630.41,5056,5000,1,26624,Chair
5,13769.22,79663.26,5056,5000,1,26624,Chair
5,21426.98,87329.09,5008,5000,1,26624,Chair
5,21606.81,87494.13,5008,5000,1,26624,Chair
5,21222.85,87557.15,5008,5000,1,26624,Chair
5,21916.93,87854.2,5076,5000,1,26624,Chair
5,22148.07,88070.72,5076,5000,1,26624,Chair
5,21745.6,88048.12,5076,5000,1,26624,Chair
5,21923.1,88211.17,5076,5000,1,26624,Chair
5,22020.91,89088.05,5076,5000,1,26624,Chair
5,21847.62,89283.38,5076,5000,1,26624,Chair
5,22251.78,89306.88,5076,5000,1,26624,Chair
5,22026.48,89448.72,5076,5000,1,26624,Chair
5,16228.97,73226.75,4988,5003,1,49152,Bench
5,16229.96,73815.77,4988,5003,1,49152,Bench
5,11524.79,74338.03,4988,5003,1,16384,Bench
5,11525.79,74923.03,4988,5003,1,16384,Bench
5,14053.51,77062.48,4988,5003,1,0,Bench
5,13468.52,77059.47,4988,5003,1,0,Bench
5,16131.38,80475.89,5008,5003,1,0,Bench
5,16540.38,80474.89,5008,5003,1,0,Bench
5,18740.12,81071.98,5008,5003,1,7168,Bench
5,11623.38,82127.89,5008,5003,1,16384,Bench
5,11624.38,82536.89,5008,5003,1,16384,Bench
5,13323.38,83575.89,5008,5003,1,49152,Bench
5,19056.91,81330.7,5008,5003,1,7168,Bench
5,19881.37,83377.89,4984,5003,1,16384,Bench
5,19882.37,83786.89,4984,5003,1,16384,Bench
5,16684.25,84905.41,5388,5003,1,32768,Bench
5,16628.38,88034.95,5388,5003,1,0,Bench
5,19881.85,89290.56,4984,5003,1,16384,Bench
5,19882.86,89699.56,4984,5003,1,16384,Bench
5,17253.38,92163.89,4984,5003,1,32768,Bench
5,17662.38,92162.91,4984,5003,1,32768,Bench
5,13479.61,89495.13,5008,5003,1,49152,Bench
5,13480.61,89904.14,5008,5003,1,49152,Bench
5,11641.96,88722.55,5008,5003,1,16384,Bench
5,11568.07,90764.92,5008,5003,1,16384,Bench
5,11642.96,89131.55,5008,5003,1,16384,Bench
5,11567.07,90355.92,5008,5003,1,16384,Bench
5,10628.38,99170.91,4164,5003,1,32768,Bench
5,9975.382,99159.89,4164,5003,1,32768,Bench
5,13324.38,83984.91,5008,5003,1,49152,Bench
5,11385.08,46475.73,9129.25,5003,1,29192,Bench
5,11769.91,46337.34,9129.25,5003,1,29192,Bench
5,16263.81,46356.73,9128.25,5003,1,36820,Bench
5,16642.66,46510.7,9128.25,5003,1,36820,Bench
5,11912.33,49238.03,9127.5,5003,1,23324,Bench
5,11660.64,49560.39,9127.5,5003,1,23324,Bench
5,16379.6,49594.7,9128,5003,1,41740,Bench
5,16112.08,49285.41,9128,5003,1,41740,Bench
5,18698.56,49432.47,9128.75,5003,1,12268,Bench
5,18856.71,49809.59,9128.75,5003,1,12268,Bench
5,16726.86,52813.06,9128.5,5003,1,54716,Bench
5,16519.75,53165.74,9128.5,5003,1,54716,Bench
5,11475.46,53177.62,9129.5,5003,1,10684,Bench
5,11262.06,52828.71,9129.5,5003,1,10684,Bench
5,9165.841,49464.64,9129.5,5003,1,53456,Bench
5,9002.733,49839.64,9129.5,5003,1,53456,Bench
