MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
1,-2509,-5452,-7968,13,1,0,Persian Ruby
1,-1184,2510,-10157.91,15,1,18000,Zarko Ruzzoli IQ Test Paper
1,2168.297,6960.776,-10107,1123,1,0,Kafra Quest Progress
1,-8821.073,-1603.447,-9344,1123,1,40000,Kafra Quest Progress
1,2434.902,-3981.677,-8476,1123,1,30000,Kafra Quest Progress
1,3157.256,-14286.34,-6479,1123,1,40000,Kafra Quest Progress
1,6112,7712,-9657.625,1124,1,0,Mailbox
1,2677.451,6946.643,-10081,1125,1,0,Hodemimes Quest Board
1,-9284.975,-1955.267,-9321,1125,1,40000,Hodemimes Quest Board
1,2962.561,-4105.907,-8458,1125,1,30000,Hodemimes Quest Board
1,3540.303,-13958.85,-6481,1125,1,40000,Hodemimes Quest Board
1,-368.319,4119.628,-10174.7,5000,1,18956,Chair
1,-768.266,4542.616,-10150.34,5000,1,50964,Chair
1,-466.297,4449.95,-10163.37,5000,1,51116,Chair
1,-868.073,4337.869,-10160.91,5000,1,51876,Chair
1,-648.755,4277.484,-10169.56,5000,1,51920,Chair
1,-686.59,-949.637,-8611.558,5000,1,41712,Chair
1,-577.631,-1130.004,-8603.764,5000,1,41208,Chair
1,-715.291,-1388.467,-8615.654,5000,1,48416,Chair
1,-11751.67,-687.862,-9238.926,5000,1,54680,Chair
1,-12014.16,-799.234,-9242.82,5000,1,57264,Chair
1,-12313.73,-576.919,-9252.73,5000,1,59108,Chair
1,-12155.08,-339.26,-9244.717,5000,1,1348,Chair
1,-5396.528,-4485.35,-8325.884,5000,1,57264,Chair
1,-5132.559,-4577.705,-8315.569,5000,1,30244,Chair
1,-5551.908,-4708.252,-8304.012,5000,1,51400,Chair
1,-5402.265,-4811.945,-8304.417,5000,1,33972,Chair
1,-11460.95,-7352.502,-8299.228,5000,1,48764,Chair
1,-11734.05,-7568.139,-8299.228,5000,1,49484,Chair
1,8955.02,-11891.33,-6078.5,5000,1,0,Chair
1,988,-12212,-6540.437,5000,1,0,Chair
1,649,-12275,-6524.906,5000,1,0,Chair
1,818,-12418,-6526.906,5000,1,0,Chair
1,1743.888,-14113.36,-6459.537,5000,1,0,Chair
1,1924.447,-13916.5,-6467.201,5000,1,0,Chair
1,2081.689,-14066.53,-6452.5,5000,1,0,Chair
1,1908.847,-14270.71,-6453.587,5000,1,16440,Chair
1,9124.468,-12071.79,-6078.5,5000,1,0,Chair
1,9120.112,-11706.12,-6078.5,5000,1,0,Chair
1,9293.249,-11878.9,-6078.5,5000,1,0,Chair
1,4837.819,7766.04,-9601.552,5000,1,41128,Chair
1,4706.308,8088.973,-9609.041,5000,1,44520,Chair
1,4520.607,7933.239,-9604.763,5000,1,44508,Chair
1,4405.166,8191.072,-9608.689,5000,1,45472,Chair
1,5659.387,8507.039,-9609.252,5000,1,41128,Chair
1,5978.662,8688.162,-9609.472,5000,1,41128,Chair
1,4709.604,8995.04,-9491.606,5000,1,44664,Chair
1,4917.964,9070.103,-9491.584,5000,1,44428,Chair
1,4411.138,9592.264,-9491.565,5000,1,42864,Chair
1,658.337,7250.385,-10205.88,5001,1,1084,Bench
1,-4182.238,-1443.704,-8724.9,5001,1,65204,Bench
1,-4719.238,-1512.704,-8697.315,5001,1,3700,Bench
1,8139.336,11091.39,-9453.648,5001,1,7176,Bench
1,8628.336,11504.39,-9460.467,5001,1,7176,Bench
1,7812.661,11487.39,-9437.064,5001,1,7176,Bench
1,8301.661,11900.39,-9432.664,5001,1,7176,Bench
1,-301.737,-9741.032,-6440.776,5002,1,0,Bench
1,-972.737,-9856.032,-6439.001,5002,1,3764,Bench
1,649.385,-13291.25,-6496.198,5002,1,12784,Bench
1,1165.195,-13210.35,-6501.625,5002,1,56040,Bench
1,993.368,-13694.95,-6488.857,5002,1,1928,Bench
