Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10208,23,34954.78,-50202.82,-6686.101,1,500
10208,23,38327.39,-44556.93,-6680.638,1,500
10208,23,38987.87,-44512.21,-6706.326,1,500
10208,23,41159.81,-39484.19,-6621.385,1,500
10208,23,39088.07,-35706.9,-6733.107,1,500
10208,23,38067.91,-35604.82,-6645.438,1,500
10208,23,38610.67,-33928.06,-6732.636,1,500
10208,23,32270.15,-36039.15,-6257.047,1,500
10208,23,22745.35,-32661.58,-7425.01,1,500
10208,23,17446.2,-26720.86,-7792.022,1,500
10208,23,14992.21,-27172.59,-7953.889,1,500
10208,23,-1153.919,-16347.23,-8611.371,1,500
10203,23,35518.49,-47231.11,-6807.162,1,500
10203,23,37035.75,-45226.39,-6840.43,1,500
10203,23,29436.87,-36425.44,-6988.052,1,500
10203,23,26051.35,-36471.61,-7277.99,1,500
10203,23,25198.93,-33716.16,-7390.499,1,500
10203,23,25207.63,-28708.56,-8079.74,1,500
10203,23,1433.903,-18160.53,-8617.959,1,500
10203,23,-3998.736,-15477.76,-8659.16,1,500
10203,23,-7151.707,-16964.82,-8776.01,1,500
10203,23,-10100.16,-17401.2,-9247.422,1,500
10203,23,-12893.57,-16980.19,-9414.024,1,500
10203,23,-20130.06,-9288.417,-9995.697,1,500
10203,23,-20878.16,-9969.344,-10002.05,1,500
10203,23,-21895.18,-9539.13,-10022.1,1,500
10203,23,-24190.39,-10586.43,-10090.43,1,500
10203,23,-10031.59,10974.61,-10383.12,1,500
10203,23,-6561.959,5162.059,-10462.76,1,500
10203,23,-4868.676,11869.59,-10669.64,1,500
10203,23,-2795.726,18729.75,-11382.21,1,500
10203,23,-1237.911,20215.01,-10885.72,1,500
10203,23,1382.026,21738.27,-11092.1,1,500
10204,23,39927.18,-37783.35,-6636.835,1,500
10204,23,32350.18,-34886.47,-6929.172,1,500
10204,23,24139.11,-31368.38,-7511.317,1,500
10204,23,17666.83,-29184.99,-7769.97,1,500
