Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10220,21,-29562,-52207,0,1,500
10219,21,-29143,-51757,0,1,500
10220,21,-30295,-48305,0,1,500
10220,21,-30473,-52445,0,1,500
10219,21,-30002,-50695,0,1,500
10220,21,-22817,-32342,0,1,500
10223,21,-36239,-31193,0,1,500
10224,21,-38182,-24750,0,1,500
10220,21,-42452,-16975,0,1,500
10224,21,-45739,-9665,0,1,500
10220,21,-30353.33,-56423.28,1183.277,1,500
10219,21,-30302.21,-53173.59,860.019,1,500
10219,21,-30489.85,-52082.9,860.019,1,500
10219,21,-28731.35,-50341.23,776.791,1,500
10219,21,-57042.79,-28613.57,538,1,500
10219,21,-59910.15,-30085.79,914,1,500
10219,21,-29490.34,-51625.45,860.019,1,500
10219,21,-30848.33,-38050.77,590,1,500
10219,21,-31099.37,-43598.41,304.858,1,500
10222,21,-27955.1,-39378.77,402.033,1,500
10222,21,-31991.16,-37328.8,826.033,1,500
10222,21,-26898.89,-36834.18,528.131,1,500
10222,21,-44744.07,-32346.04,949.007,1,500
10222,21,-56943.44,-30039.47,578,1,500
10222,21,-44604.96,-32671.88,947.641,1,500
10221,21,-27300.21,-52278.18,902,1,500
10221,21,-30761.12,-47822.41,657.945,1,500
10221,21,-30856.12,-47648.09,665.032,1,500
10221,21,-32213.99,-37320.2,826,1,500
10221,21,-27142.39,-36869.59,543.972,1,500
10221,21,-24804.08,-36247.29,574,1,500
10221,21,-24276.83,-31001.12,905.713,1,500
10221,21,-24468.21,-35046.77,602.16,1,500
10221,21,-30233.3,-41946.57,244.557,1,500
10221,21,-57897.46,-32147.69,603.501,1,500
10239,21,-27487.04,-24617.75,1161.549,1,500
10239,21,-16480.01,-13792.3,122.585,1,500
10239,21,-21595.52,-15619.3,458,1,500
10240,21,-23495.83,-19093.65,483.682,1,500
10223,21,-26754.17,-26629.49,1135.675,1,500
10223,21,-31175.35,-16511.53,1577.864,1,500
10223,21,-20521.86,-16984.52,369.802,1,500
10223,21,-46013.89,-8081.957,2922,1,500
10223,21,-15714.19,-12592.49,258.273,1,500
10223,21,-31441.73,-13857.02,1871.096,1,500
10224,21,-26934.31,-25852.59,1145.285,1,500
10224,21,-31182.41,-17103.15,1386,1,500
10224,21,-18979.13,-16222.89,187.62,1,500
10224,21,-42141.95,-16840.75,2059.385,1,500
10241,21,-36503.23,-6077.594,3034,1,500
10241,21,-35999.36,-2967.603,3047.459,1,500
10241,21,-34681.41,-774.67,3054,1,500
10241,21,-34189.84,-8487.221,2704.03,1,500
