Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10196,22,11565.14,9402.467,6385.285,1,500
10180,22,-28550.53,2785.763,-544.925,1,500
10180,22,-28118.76,5238.589,-583.876,1,500
10181,22,-28346.87,4922.103,-564.663,1,500
10187,22,-16170.7,14603.96,1695.844,1,500
10187,22,-18576.35,15120.03,1557.306,1,500
10178,22,-28896.03,4107.572,-559.568,1,500
10178,22,-22835.38,7735.896,441.792,1,500
10186,22,-25527.14,5067.94,-180.091,1,500
10186,22,-26124.37,1315.223,-178.096,1,500
10186,22,-24969.41,3964.3,-121.588,1,500
10186,22,-23088.54,1250.994,467.565,1,500
10186,22,-17495.44,18080.91,1938.688,1,500
10179,22,-24005.28,6271.4,94.369,1,500
10179,22,-28102.37,5138.088,-583.876,1,500
10179,22,-27061.75,4050.626,-394.607,1,500
10177,22,-27985.86,3487.532,-559.568,1,500
10177,22,-20465.05,10621.8,616.696,1,500
10177,22,-20085.01,8783.437,336.619,1,500
10177,22,-19945.42,15663.16,1521.613,1,500
10177,22,-9487.795,11398.72,2015.087,1,500
10175,22,-4204.932,5347.207,2623.398,1,500
10175,22,-5546.304,3606.965,2752.948,1,500
10183,22,-12234.37,15455.08,1677.525,1,500
10183,22,-1522.884,-1745.688,3545.241,1,500
10183,22,-162.672,-3270.317,3397.869,1,500
10183,22,-18085.14,16394.5,1625.18,1,500
10182,22,-3199.3,1887.904,3416.188,1,500
10182,22,-16790.89,18068.03,1943,1,500
10182,22,-13391.14,17810.28,1945.883,1,500
10184,22,-2822.166,-4515.669,3562.506,1,500
10184,22,7784.217,-2467.313,4435.091,1,500
10184,22,8945.733,-5421.916,5064.144,1,500
10190,22,3499.878,-5808.774,4052.731,1,500
10190,22,7080.881,-4989.095,6524.659,1,500
10190,22,9897.67,2108.449,6572.804,1,500
10190,22,7751.875,-7119.079,4683.385,1,500
10190,22,4189.203,-7108.03,4093.333,1,500
10190,22,7352.977,-5650.794,4681.798,1,500
10190,22,10849.31,3305.095,6431.665,1,500
10188,22,10629.53,-5650.539,5019.729,1,500
10188,22,11701.48,-3924.407,5059.665,1,500
10189,22,7087.338,1586.085,5601.293,1,500
10189,22,10070.47,-679.848,5027.579,1,500
10189,22,10348.33,2909.574,6287.998,1,500
10189,22,999.592,-7049.229,3519.174,1,500
10189,22,9959.844,-4588.091,5007.554,1,500
10189,22,10604.64,-244.649,5255.602,1,500
10189,22,11188.54,7460.418,6424.198,1,500
10191,22,7160.668,4226.637,6473.755,1,500
10191,22,11276.05,198.343,5543.103,1,500
10192,22,12621.15,1591.574,6425.036,1,500
10195,22,18229.3,8219.132,7486.774,1,500
10195,22,9431.584,6874.664,6514.482,1,500
10195,22,8947.638,9803.535,6524.451,1,500
10195,22,15003.9,13201.99,6958.401,1,500
10195,22,21765.7,8384.527,7634.824,1,500
10195,22,23083.84,9661.972,7877.787,1,500
10194,22,12185.07,9599.156,6475.208,1,500
10194,22,9088.401,10044.8,6524.451,1,500
10194,22,15971.27,8608.589,7029.276,1,500
10194,22,16562.09,12915.29,6990.554,1,500
10194,22,18144.14,18903.53,7337,1,500
10194,22,9877.805,6684.725,6462.587,1,500
10194,22,13874.8,7462.307,6565.775,1,500
10194,22,18414.79,19794.17,7425.326,1,500
10193,22,17820.66,11126.42,7059.303,1,500
10193,22,18564.23,19018.57,7430.117,1,500
10193,22,16040.36,8636.015,7029.276,1,500
10193,22,17232.89,11766.84,7028.15,1,500
10193,22,19968.78,9355.282,7276.446,1,500
10193,22,21659.73,10137.45,7516.699,1,500
