Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10442,25,12192.96,-1208.071,140,1,500
10442,25,-2931.434,-2017.978,11402.91,1,500
10438,25,5865.895,-4573.373,1108,1,500
10438,25,5590.009,-12709.69,24492,1,500
10438,25,3754.022,-5910.918,14464,1,500
10438,25,3800.191,-5218.913,500.039,1,500
10438,25,3506.778,-7440.355,20224,1,500
10438,25,3190.999,-5925.611,1843.318,1,500
10438,25,-1244.017,4394.44,334.646,1,500
10438,25,-640.005,5079.937,192,1,500
10438,25,18.898,4758.608,52,1,500
10438,25,5821.651,-1051.129,256,1,500
10439,25,-5564.349,-6434.68,1008.099,1,500
10439,25,-5095.675,-4836.804,1005.653,1,500
10439,25,-7427.893,-4572.626,913.926,1,500
10441,25,8969.817,778,18568.94,1,500
10441,25,8764.258,-2514.575,18828,1,500
10441,25,8528.121,3138.938,24528.1,1,500
10441,25,8487.599,1154.398,8840.113,1,500
10441,25,11665.47,-5205.778,24520.41,1,500
10441,25,7322.635,1652.112,18528,1,500
10440,25,9229.001,-8109.752,958.733,1,500
10440,25,-2273.332,-9072.691,1268,1,500
10440,25,-828.991,-3869.009,611.151,1,500
10440,25,-1766.897,-6671.364,971.619,1,500
10440,25,-3568.41,-7120.074,1012.479,1,500
10440,25,-4106.433,-9684.38,1247.075,1,500
10440,25,-6660.233,-1250.455,500.859,1,500
10440,25,-4270.101,6393.977,237.675,1,500
10440,25,-11164.39,17078.18,903.343,1,500
10440,25,-4570.56,10665.57,1135.587,1,500
10440,25,-1924.341,7121.854,128,1,500
10443,25,7186.93,11552.66,25016,1,500
10439,25,16227,-2976,113.801,5,500
10439,25,14758,766,156.097,7,500
