Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10071,17,3951,21718,0,4,2500
10072,17,2950,13901,0,5,4500
10086,17,6974,13718,0,5,4500
10071,17,6974,13718,0,5,4500
10087,17,1898,16785,0,5,4500
10073,17,8697,6640,0,5,4500
10071,17,1977,5633,0,5,4500
10086,17,1977,5633,0,5,4200
10071,17,-4670,9022,0,2,2500
10375,17,-20348,11655,0,6,5000
10377,17,-20348,11655,0,5,4500
10379,17,-33464,9294,0,3,5200
10379,17,-18612,19667,0,5,3500
10376,17,-11963,17744,0,5,5000
10378,17,-13907,28676,0,4,5000
10375,17,-36626,3462,0,4,5000
10376,17,-33076,-2001,0,2,1500
10381,17,-29480,-8698,0,2,1500
10382,17,-27852,-13464,0,2,1500
10382,17,-19309,-10218,0,4,4500
10381,17,-19309,-10218,0,4,4600
10382,17,-14334,-3955,0,2,1500
10382,17,-13107,-1802,0,2,1500
10381,17,-8833,-2676,0,2,1500
10381,17,-7642,-5519,0,1,500
10381,17,-7775,-9802,0,1,200
10383,17,676,-8898,0,3,2500
10384,17,9309,-7175,0,4,2500
10384,17,14227,-14183,0,3,2500
10383,17,6626,-15664,0,3,2500
10383,17,63,-16013,0,3,2500
10383,17,4444,-21768,0,3,2500
10384,17,11206,-25802,0,3,2500
10384,17,3998,-28605,0,3,2500
10385,17,-2976,-11918,0,1,250
10385,17,517,-12933,0,1,250
10385,17,2479,-14688,0,1,250
10385,17,4020,-10299,0,1,250
10385,17,5479,-7018,0,1,250
10385,17,8053,-3080,0,1,250
10385,17,12225,-3691,0,1,250
10385,17,13578,-9264,0,1,250
10385,17,10222,-12576,0,1,250
10385,17,10232,-15984,0,1,250
10385,17,5708,-18390,0,1,250
10385,17,1477,-19447,0,1,250
10385,17,-392,-26624,0,1,250
10385,17,6649,-26637,0,1,260
10385,17,7646,-31610,0,1,260
10385,17,5766,-33264,0,1,260
10386,17,6174,-39575,0,1,250
10387,17,7396,-41892,0,1,250
10387,17,10864,-42494,0,1,250
10386,17,15134,-43991,0,2,1000
10387,17,15170,-40276,0,1,250
10387,17,17841,-38340,0,1,250
10386,17,19912,-37224,0,1,250
10386,17,20591,-37773,0,3,1250
10387,17,20591,-37773,0,1,1250
10387,17,21886,-42808,0,1,250
10386,17,21333,-46552,0,1,250
10387,17,18848,-51902,0,1,250
10386,17,20041,-55910,0,1,250
10387,17,16855,-57208,0,1,250
10386,17,14200,-57045,0,1,250
10386,17,11209,-56150,0,1,250
10387,17,9060,-55349,0,1,250
10386,17,8002,-53568,0,1,250
10386,17,7835,-52872,0,1,250
10387,17,7560,-49676,0,1,250
10386,17,5858,-47222,0,2,750
10388,17,-13701,-46461,0,1,750
10385,17,-9505,-48041,0,5,5000
10385,17,-10546,-40865,0,5,5000
10385,17,-19880,-42682,0,5,4500
10385,17,-20486,-47713,0,3,4000
10385,17,-16038,-47033,0,4,4200
10375,17,-28228,14896,0,2,1500
10378,17,-34674,12560,0,1,1500
10377,17,-34674,12560,0,1,1500
10377,17,-38130,4194,0,3,2500
10378,17,-38130,4194,0,2,2500
10378,17,-33553,-895,0,1,500
10382,17,-15530,-13288,0,2,1500
10386,17,24498,-38200,0,2,2500
10387,17,24498,-38200,0,2,2500
