Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10422,24,-18025.44,-43209.88,-26209.38,1,850
10422,24,-13559.36,-34538.46,-26271.7,1,850
10422,24,-14317.62,-30154.53,-26259.57,1,850
10422,24,-11532.92,-35412.65,-25954.26,1,850
10422,24,-5863.22,-27814.22,-25365.26,1,850
10422,24,256.078,-22617.59,-25467.85,1,850
10422,24,5805.966,-35236.15,-24505.31,1,850
10422,24,5403.859,-30651.96,-24428.06,1,850
10422,24,-6339.094,-22411.56,-26076.97,1,850
10422,24,-17284.2,-22368.34,-26471.09,1,850
10422,24,-15982.52,-17872.25,-26375.22,1,850
10422,24,-18519.7,-17232.64,-25608.97,1,850
10422,24,-27174.45,-15472.87,-21724.36,1,850
10422,24,-35806.07,-21014.48,-16756.21,1,850
10422,24,-37881.18,-15636.02,-17464.89,1,850
10422,24,-39741.27,-22419.99,-16010.45,1,850
10422,24,-38656.45,-24834.94,-15472.46,1,850
10422,24,-43577.33,-25342.87,-14906.94,1,850
10422,24,-39563.14,-34203.28,-12904.58,1,850
10422,24,-41916.85,-35704.06,-11958.83,1,850
10422,24,-46465.12,-37133.55,-11541.3,1,850
10422,24,-48306.37,-21681.69,-15285.32,1,850
10422,24,5409.011,-34514.24,-24505.31,1,850
10422,24,1813.504,-35072.61,-24555.26,1,850
10422,24,-2179.77,-29987.68,-25287.24,1,850
10422,24,7874.823,-34872.91,-24419.74,1,850
10422,24,5335.508,-34549.41,-24505.31,1,850
10422,24,6073.647,-30743.03,-24428.06,1,850
10422,24,-6850.69,-22568.33,-26076.83,1,850
10422,24,-9991.602,-20047.23,-26313.69,1,850
10422,24,-45738.43,-25931.65,-14782.3,1,850
10422,24,-39970.33,-33132.5,-13037.13,1,850
10422,24,-40226.1,-24883.42,-15309.67,1,850
10422,24,-21809.05,-18906.7,-25116.88,1,850
10422,24,-19807.85,-19971.49,-26044.46,1,850
10422,24,-19185.38,-17251.94,-25608.97,1,850
10422,24,-16249.41,-18073.28,-26375.22,1,850
10423,24,-19253.91,-36365.93,-26247.68,1,850
10423,24,-14263.14,-36108.13,-26271.33,1,850
10423,24,-14783.87,-33213.88,-26016.74,1,850
10423,24,-16151.09,-31254.45,-26022.49,1,850
