Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10131,9,-1010,4826,80,4,4500
10132,9,-1010,4826,80,4,4500
10136,9,2984,687,80,4,5000
10134,9,2984,687,80,4,5000
10138,9,3298,-5189,80,4,5000
10133,9,1861,-9341,80,4,4000
10134,9,-3170,-9403,80,4,4000
10135,9,-5362,-5408,80,5,5000
10134,9,-5387,-2427,80,2,1500
10133,9,-2123,-2304,80,2,1500
10134,9,-267,-5018,80,4,5000
10135,9,-3893,277,80,4,5000
10134,9,-7545,179,80,5,5000
10136,9,-148,-5015,80,2,2500
10137,9,-2885,-16059,80,2,1500
10139,9,4,-14232,80,1,150
10138,9,2861,-10715,80,1,250
10149,9,-1363,-12083,80,2,1000
10149,9,773,-10248,80,2,500
10150,9,790,-13691,80,2,500
10150,9,-3330,-13489,80,2,500
10149,9,-3345,-10079,80,3,1500
10147,9,-8322,-43602,80,10,7500
10148,9,161,-42152,80,10,7500
10148,9,-458,-38577,80,5,7500
10141,9,-458,-38577,80,5,7500
10141,9,-572,-31195,80,8,7500
10140,9,-572,-31195,80,8,7500
10147,9,-5819,-37216,80,3,700
10148,9,-5819,-37216,80,1,700
10148,9,4268,-30938,80,1,700
10147,9,4268,-30938,80,3,700
10141,9,-1734,-21726,80,10,7500
10140,9,-1734,-21726,80,10,7500
10142,9,-2181,-18202,80,10,7500
10139,9,-1624,-12498,80,2,2000
10143,9,-2685,-50919,80,1,750
10151,9,-2685,-50919,80,7,7500
10152,9,-2685,-50919,80,7,7500
