Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10291,8,-26929,-24076,0,1,350
10290,8,-26929,-24076,0,1,350
10075,8,14534,43181,0,20,5000
10114,8,14534,43181,0,20,5000
10123,8,-26086,54576,0,3,600
10126,8,-18907,55606,0,2,70
10126,8,-28221,41742,0,2,40
10291,8,-24782,-33180,0,2,1000
10289,8,-24782,-33180,0,2,1250
10107,8,368,-20261,0,5,2250
10102,8,368,-20261,0,5,3000
10102,8,15762,-22846,0,5,3000
10107,8,15762,-22846,0,5,2250
10159,8,20455,-55742,0,4,1500
10159,8,-2426,-52640,0,4,1500
10090,8,-18219,-49170,0,6,3500
10089,8,6501,-54210,0,6,3500
10161,8,-18219,-49170,0,6,3500
10160,8,6501,-54210,0,6,3500
10298,8,26024,-37519,0,1,500
10312,8,-12019,45644,0,1,500
10314,8,-31628,48964,0,1,500
10309,8,-29088,40205,0,1,500
10127,8,-37710,26611,0,1,1500
10124,8,-37710,26611,0,1,1500
10125,8,-31871,23509,0,1,1500
10126,8,-31871,23509,0,1,1500
10126,8,-42047,15771,0,1,1500
10124,8,-43806,18503,0,1,1500
10127,8,-48470,22267,0,1,1500
10091,8,-59162,34477,0,5,7500
10090,8,-59805,28033,0,5,7500
10159,8,-58179,19691,0,5,7500
10160,8,-54770,30205,0,5,7500
10160,8,-47514,-20532,0,5,7500
10159,8,-39352,-37435,0,5,7500
10299,8,49614,-21953,0,1,750
10293,8,25895,6512,0,1,750
10115,8,31382,12404,0,3,5000
10114,8,31382,12404,0,3,5000
10114,8,1435,-632,0,3,5000
10074,8,44590,42672,0,1,1500
10074,8,47844,40284,0,1,1000
10074,8,36156,38785,0,1,1000
10114,8,35314,51412,0,3,3000
10115,8,34077,52378,0,3,3000
10115,8,32628,49094,0,3,5000
10114,8,32628,49094,0,3,5000
10114,8,34160,45369,0,3,5000
10115,8,34160,45369,0,3,5000
10115,8,39572,40674,0,3,5000
10114,8,39572,40674,0,3,5000
10114,8,40887,35317,0,3,5000
10115,8,40887,35317,0,3,5000
10098,8,42450,37305,0,3,5000
10099,8,44257,35840,0,3,5000
10098,8,48123,37894,0,3,5000
10099,8,49756,39237,0,3,5000
10115,8,49842,39682,0,3,5000
10115,8,43454,36758,0,3,5000
10114,8,41780,35363,0,3,5000
10074,8,41735,34451,0,3,5000
10075,8,38111,34570,0,3,5000
10114,8,35401,34452,0,3,5000
10115,8,28888,35081,0,3,5000
10075,8,28184,32660,0,3,5000
10074,8,24663,29667,0,3,5000
10114,8,24663,29667,0,3,5000
10114,8,30992,26781,0,3,5000
10075,8,31869,26316,0,3,5000
10115,8,32502,22456,0,3,5000
10114,8,36397,23059,0,3,5000
10074,8,37988,21592,0,3,5000
10115,8,33273,20822,0,3,5000
10289,8,27236,20150,0,2,3000
10290,8,23754,19102,0,2,1500
10291,8,21064,17958,0,2,1500
10292,8,19476,17070,0,2,1500
10290,8,18997,14071,0,2,1500
10289,8,19981,12136,0,2,1500
10291,8,17649,11958,0,2,1500
10292,8,13745,13453,0,2,1500
10290,8,12475,10714,0,2,1500
10289,8,10105,9740,0,2,1500
10291,8,10945,5557,0,2,1500
10292,8,12652,3370,0,2,1500
10289,8,8082,2237,0,2,1500
10292,8,5521,5128,0,2,1500
10291,8,3024,5843,0,2,1500
10289,8,348,5294,0,2,1500
10292,8,-2010,5989,0,2,1500
10290,8,-2167,10281,0,2,2500
10291,8,-333,13873,0,2,2500
10292,8,3355,15202,0,2,2500
10289,8,6153,15503,0,2,2500
10290,8,10520,23777,0,2,2000
10122,8,-2105,16276,0,1,500
10124,8,-3284,16938,0,1,500
10127,8,-5582,19183,0,1,500
10123,8,-5575,22210,0,1,500
10125,8,-4747,25189,0,1,500
10126,8,-4331,28724,0,1,500
10122,8,-6815,30471,0,1,500
10125,8,-8011,35907,0,1,500
10127,8,-10336,38972,0,1,500
10123,8,-11396,44100,0,1,500
10126,8,-21109,39047,0,1,500
10125,8,-22688,36260,0,1,500
10122,8,-26282,38220,0,1,500
10125,8,-25944,44525,0,5,5000
10125,8,-47398,3119,0,5,5000
10125,8,-47424,861,0,1,500
10122,8,-46313,-3098,0,1,500
10127,8,-45169,-4810,0,1,500
10124,8,-41602,-6178,0,1,500
10076,8,-33573,-13626,0,3,3000
10077,8,-31391,-15911,0,3,3000
10078,8,-30117,-18355,0,3,3000
10077,8,-27456,-19754,0,3,3000
10076,8,-27142,-24172,0,3,3000
10078,8,-21860,-24894,0,3,3000
10076,8,-18752,-28425,0,3,3000
10077,8,-16497,-31929,0,5,5000
10294,8,-12767,-34056,0,3,3000
10295,8,-10734,-34769,0,3,3000
10296,8,-7630,-33219,0,3,3000
10297,8,-4852,-35589,0,3,3000
10295,8,-379,-35607,0,3,3000
10297,8,3824,-34766,0,3,3000
10296,8,7919,-36727,0,3,3000
10294,8,10592,-34805,0,3,3000
10295,8,12805,-35317,0,3,3000
10297,8,13542,-36879,0,3,3000
10296,8,17622,-34620,0,3,3000
10297,8,21576,-35757,0,3,3000
10295,8,23287,-34887,0,3,3000
10294,8,25527,-38598,0,3,3000
10296,8,28793,-41924,0,3,3000
10297,8,26457,-33205,0,3,3000
10296,8,27727,-30029,0,3,3000
10100,8,34720,-32424,0,2,1000
10101,8,38266,-31271,0,2,1000
10104,8,39463,-31076,0,2,1000
10107,8,39020,-27540,0,2,1000
10106,8,37849,-26107,0,2,1000
10102,8,37290,-23531,0,2,1000
10103,8,35914,-21720,0,2,1000
10101,8,33886,-19456,0,2,1000
10100,8,33801,-16654,0,2,1000
10105,8,38202,-16627,0,2,1000
10107,8,42625,-19650,0,2,1000
10101,8,42625,-19650,0,2,1000
10103,8,45100,-19824,0,2,1000
10105,8,46576,-22150,0,2,1000
10104,8,46347,-24102,0,2,1000
10100,8,50399,-28476,0,2,1000
10105,8,50852,-30945,0,2,1000
10106,8,51208,-34021,0,2,1000
10103,8,45948,-38019,0,2,1000
10102,8,42670,-35772,0,2,1000
