Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10265,6,-39430,5087,0,1,500
10081,6,-38453,5274,0,3,2500
10081,6,-30923,8477,0,4,3000
10082,6,-44486,8451,0,6,5000
10088,6,-40289,20409,0,5,7500
10088,6,-28029,21148,0,7,7500
10405,6,-43217,29284,0,8,7500
10081,6,-38453,5274,0,3,3500
10157,6,143,43552,0,5,7500
10158,6,10051,36987,0,6,7500
10157,6,22494,32196,0,8,7500
10156,6,32219,32274,0,8,7500
10158,6,43330,35098,0,8,7500
10144,6,-29630,-33833,0,1,2500
10145,6,-29630,-33833,0,1,2500
10145,6,-32738,-35935,0,1,2500
10144,6,-22858,-29543,0,1,2500
10145,6,-24181,-29650,0,1,2500
10145,6,-34440,-39022,0,1,2500
10144,6,-39725,-42358,0,1,2500
10144,6,-39970,-46916,0,2,3500
10145,6,-39970,-46916,0,2,3500
10145,6,-45571,-42716,0,2,3500
10145,6,-40751,-34880,0,3,4500
10144,6,-40751,-34880,0,3,4500
10144,6,-40438,-25234,0,1,4500
10145,6,-40438,-25234,0,1,4500
10145,6,-29288,-24626,0,2,3600
10144,6,-29288,-24626,0,2,3600
10144,6,-32458,-26877,0,2,3000
10144,6,-25428,-33998,0,1,500
10144,6,-47771,-47534,0,1,1500
10145,6,-47771,-47534,0,2,1500
10145,6,-52972,-45175,0,1,1500
10145,6,-52831,-39657,0,1,1500
10144,6,-52831,-39657,0,1,1500
10144,6,-50591,-33342,0,3,2500
10145,6,-50591,-33342,0,2,2500
10145,6,-33317,-22121,0,1,1000
10144,6,-39714,-27383,0,1,1000
10144,6,-30481,-26928,0,1,1000
10098,6,-32796,-37228,0,1,1000
10099,6,-34001,-38512,0,1,1000
10099,6,-35080,-32284,0,1,700
10099,6,-30937,-25341,0,1,1500
10098,6,-30937,-25341,0,1,1500
10098,6,-38208,-24362,0,2,3500
10099,6,-42576,-28315,0,1,500
10099,6,-47416,-43314,0,1,500
10098,6,-53518,-43862,0,1,800
10098,6,-51465,-34906,0,1,800
10098,6,-36346,-22873,0,1,750
10088,6,-35198,22705,0,2,1250
10088,6,-34671,19355,0,2,1250
10081,6,-50869,11536,0,5,3500
10082,6,-49448,5104,0,5,3500
10082,6,-43032,3037,0,2,3500
10081,6,-43032,3037,0,2,3500
10081,6,-33612,3586,0,2,3500
10082,6,-33612,3586,0,2,3500
10082,6,-44695,2999,0,2,3500
10081,6,-49779,3829,0,2,3500
10081,6,-49593,15765,0,2,1500
10081,6,-26457,5578,0,2,2500
10082,6,-26457,5578,0,2,2500
10082,6,-22733,9822,0,2,2500
10088,6,-45232,24626,0,2,3500
10069,6,43938,-53596,0,1,1500
10070,6,41291,-53774,0,1,1500
10070,6,36829,-55463,0,1,1500
10069,6,29636,-54876,0,1,1500
10069,6,26173,-53534,0,1,1500
10070,6,22656,-49694,0,1,1500
10070,6,15812,-45544,0,1,1500
10069,6,3851,-45365,0,1,1500
10070,6,3851,-45365,0,1,1500
10070,6,8591,-48787,0,1,1500
10069,6,15036,-47430,0,1,1500
10098,6,15036,-47430,0,1,1000
10099,6,20068,-46677,0,1,1000
10099,6,22876,-51046,0,1,1000
10098,6,29237,-52818,0,1,1000
10098,6,35749,-54465,0,1,1000
10099,6,44267,-49412,0,1,1000
10099,6,44267,-49412,0,1,1000
10098,6,45327,-52685,0,1,1000
10098,6,3332,-49527,0,1,1000
10099,6,-684,-43703,0,1,1000
10116,6,43130,-4811,0,1,750
10117,6,40990,168,0,1,750
10117,6,44212,1815,0,1,750
10116,6,40740,3208,0,1,750
10155,6,43167,9119,0,1,1000
10154,6,43167,9119,0,1,1000
10153,6,43167,9119,0,2,1500
10154,6,44727,14080,0,1,1500
10155,6,44031,8898,0,1,1500
10117,6,40460,-10826,0,1,1000
10076,6,41571,9790,0,2,1500
10077,6,41571,9790,0,2,2000
10117,6,8262,-114,0,2,2000
10116,6,8262,-114,0,2,2000
10118,6,18375,-3569,0,1,500
10119,6,16281,-468,0,1,500
10119,6,12170,852,0,1,500
10118,6,10602,5500,0,1,500
10118,6,4674,1711,0,1,500
10120,6,-7010,9136,0,1,250
10120,6,-11839,7994,0,1,250
10121,6,-10795,11949,0,1,250
10121,6,-14341,11633,0,1,250
10405,6,-17552,8621,0,1,1500
10120,6,-25299,21503,0,1,750
10088,6,-46609,32572,0,1,500
10088,6,-42297,11935,0,1,500
10081,6,-20552,6426,0,1,500
10145,6,-37955,-34720,0,1,850
10144,6,-38837,-32419,0,1,850
10144,6,-42220,-46535,0,1,850
10098,6,12557,-32719,0,5,5000
10099,6,-1822,-40753,0,5,5800
10069,6,-2262,-40476,0,7,5500
10120,6,-16157,20600,0,6,3000
10070,6,29058,-21325,0,6,3000
10099,6,29058,-21325,0,6,3000
10070,6,12005,-31888,0,15,3000
10070,6,-14504,-32854,0,5,1250
10099,6,-14504,-32854,0,6,1250
10121,6,-19709,17393,0,4,2000
10070,6,18961,46438,0,20,9000
10075,6,18961,46438,0,20,9000
10072,6,18961,46438,0,20,9000
10069,6,34058,46847,0,20,9000
10075,6,34058,46847,0,20,9000
10073,6,34058,46847,0,20,9000
10076,6,18961,46438,0,20,9000
10077,6,34058,46847,0,20,9000
