Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10108,7,41399,16493,0,8,8500
10108,7,32671,27850,0,8,8500
10109,7,34631,37387,0,4,8500
10109,7,25646,42761,0,4,8500
10108,7,14630,32457,0,6,7500
10109,7,6179,33284,0,6,7500
10109,7,1509,46853,0,6,7500
10266,7,2340,50207,0,8,9200
10267,7,2340,50207,0,8,9000
10266,7,-8385,48314,0,6,6500
10266,7,-12142,39585,0,8,7000
10266,7,-11100,29422,0,6,5800
10109,7,-9572,24969,0,1,800
10108,7,-1853,22975,0,1,500
10267,7,9184,29316,0,5,6400
10109,7,10498,29292,0,6,7500
10109,7,17143,27368,0,4,5000
10108,7,19513,32700,0,5,7200
10109,7,30075,39523,0,4,4500
10109,7,34819,47119,0,5,7000
10112,7,45196,46827,0,1,500
10266,7,45196,46827,0,2,6000
10266,7,16211,47949,0,3,5800
10108,7,8393,46581,0,3,3500
10109,7,-750,50949,0,5,6500
10108,7,-16021,40811,0,5,4500
10111,7,-38784,36994,0,1,100
10112,7,-51604,27604,0,1,100
10112,7,-35448,26581,0,8,8000
10109,7,-23434,25562,0,8,9000
10108,7,-16394,11910,0,6,8000
10112,7,-27761,7703,0,8,8000
10111,7,-40852,-539,0,8,9500
10109,7,-40852,-539,0,8,8000
10109,7,-10284,5780,0,8,9000
10112,7,-8395,7021,0,8,9000
10109,7,-2965,13236,0,5,8000
10111,7,-44560,16733,0,6,8000
10109,7,-44560,16733,0,8,9000
10071,7,-44923,16341,0,8,8000
10071,7,-36656,-19582,0,8,8000
10083,7,-38746,-25413,0,8,9300
10086,7,-35405,-39709,0,8,10000
10087,7,-35405,-39709,0,8,10000
10086,7,-45108,-43185,0,7,9000
10083,7,-46486,-44697,0,9,8000
10084,7,-46486,-44697,0,8,8000
10084,7,-41357,-48018,0,4,6000
10072,7,-27762,-28316,0,7,8000
10084,7,-22095,-23919,0,6,8000
10283,7,-14831,-43960,0,4,8000
10281,7,-14831,-43960,0,3,9000
10280,7,-10943,-39288,0,3,8000
10279,7,-12588,-31385,0,2,8000
10282,7,-12588,-31385,0,2,8000
10284,7,-12588,-31385,0,2,8000
10282,7,-8414,-24375,0,2,8000
10281,7,-12084,-17493,0,2,7000
10280,7,-12084,-17493,0,2,6000
10284,7,-12084,-17493,0,2,6000
10072,7,-10738,-6531,0,8,9000
10277,7,37508,-43179,0,1,1500
10278,7,45628,-37481,0,2,2500
10273,7,45628,-37481,0,2,4500
10274,7,50682,-43940,0,2,2500
10276,7,32368,-39919,0,2,2500
10273,7,18907,-44774,0,7,12000
10275,7,18907,-44774,0,6,9000
10276,7,18415,-51531,0,1,1000
10108,7,-27632,-10183,0,7,8500
10109,7,-27956,-12663,0,8,8500
10281,7,8041,-5778,0,3,6000
10282,7,8041,-5778,0,4,5000
10279,7,12366,-14823,0,3,5000
10273,7,15901,-24062,0,6,9000
10276,7,15901,-24062,0,6,9000
10277,7,25969,-21083,0,6,9100
10275,7,25963,-21672,0,6,9500
10273,7,33757,-26922,0,8,9700
10276,7,33757,-26922,0,9,9800
10276,7,43972,-32244,0,4,6500
10274,7,38380,-38629,0,5,8200
10274,7,25806,-34072,0,5,7200
10276,7,25806,-34072,0,4,4700
10109,7,-29325,-5866,0,5,6500
10109,7,-50095,-2010,0,5,6500
10274,7,39533,-50456,0,1,2500
10276,7,39533,-50456,0,1,2500
10276,7,37079,-47249,0,1,1500
10267,7,29801,49942,0,2,2500
10272,7,43189,49137,0,1,500
10269,7,5581,52158,0,1,500
10271,7,8645,34147,0,1,500
10270,7,30713,28766,0,1,500
10268,7,-12374,9952,0,1,1500
10113,7,-12034,10184,0,1,2500
10301,7,-50929,38470,0,1,1500
10080,7,-45154,-10514,0,1,2500
10302,7,-45433,-48395,0,1,1000
10287,7,7550,-17799,0,1,1200
10285,7,36282,-46527,0,1,200
10274,7,44753,-22924,0,2,3500
10273,7,44753,-22924,0,1,3500
10276,7,44753,-22924,0,1,3500
10276,7,49563,-28638,0,2,2500
10276,7,51644,-38381,0,2,2000
10273,7,49877,-25986,0,1,2500
10112,7,-45873,41535,0,5,7500
10111,7,-49271,34205,0,4,7500
10278,7,22802,-4811,0,2,6500
10275,7,27098,-5121,0,1,6500
10274,7,27098,-5121,0,1,6500
10273,7,18407,4838,0,1,6500
10277,7,19174,-4073,0,1,6500
10112,7,-39303,44706,0,2,6500
10111,7,-38563,40995,0,2,6500
10111,7,-49796,12252,0,2,6500
10073,7,-45938,-22493,0,3,7000
10072,7,-45938,-22493,0,3,7000
10072,7,-44885,-15835,0,3,7000
10073,7,-47422,-1096,0,3,7000
10072,7,-41450,-270,0,3,7000
10280,7,-29242,-23956,0,1,4500
10281,7,-29242,-23956,0,1,4500
10282,7,-29242,-23956,0,1,4500
10279,7,-18604,-24771,0,2,8500
10282,7,-18604,-24771,0,2,8500
10281,7,-18604,-24771,0,2,8500
10281,7,-25065,-35077,0,2,7500
10280,7,-25065,-35077,0,2,7500
10108,7,43485,37249,0,1,3500
10109,7,43485,37249,0,1,3500
10109,7,-30296,44365,0,1,3500
10108,7,-36353,33071,0,1,3500
10108,7,-30886,-12986,0,1,3500
10111,7,-50324,-14636,0,1,4500
10109,7,-49446,-15282,0,1,4500
10109,7,27183,26464,0,1,4500
10108,7,27846,28244,0,1,4500
10108,7,30915,47103,0,1,3500
10108,7,-54115,22794,0,1,3500
10108,7,-34929,23213,0,2,7500
10109,7,-33363,22250,0,2,7500
10109,7,-50056,-8990,0,1,5500
10108,7,-48082,-11202,0,1,5500
10072,7,-28104,-42616,0,1,5000
10109,7,-31956,32587,0,2,6500
10108,7,-30236,33903,0,2,6500
10108,7,-47748,7958,0,1,4500
10109,7,-49545,7793,0,2,4900
10109,7,-22436,-18725,0,1,4500
10071,7,-9961,-6018,0,1,4500
10072,7,-10251,-7339,0,1,4500
10072,7,914,-13518,0,1,500
10071,7,437,-22121,0,1,500
10071,7,1880,-24663,0,1,500
10072,7,1455,-32277,0,1,500
10109,7,-7548,42285,0,1,4500
10108,7,-12432,48525,0,1,4500
10108,7,-34026,37223,0,1,4500
10109,7,-31272,32284,0,1,4500
10108,7,-31115,31697,0,1,4500
10108,7,-32985,9467,0,1,4500
10109,7,-39871,-11143,0,1,4500
10108,7,-41684,-10285,0,1,4500
10109,7,-827,7579,0,1,4500
10108,7,-3069,11283,0,1,4500
10108,7,44076,20527,0,1,4500
10109,7,42700,26923,0,1,4500
10109,7,38675,29707,0,1,4500
10108,7,40350,31008,0,1,4500
10108,7,38715,35559,0,1,4500
10108,7,6130,55975,0,1,1000
10109,7,37036,36153,0,1,1500
10108,7,38652,36849,0,1,1500
10109,7,-53325,29884,0,1,1500
10108,7,-50866,24196,0,1,1500
10108,7,-47060,23171,0,1,1500
10109,7,-39114,22957,0,1,750
10109,7,-50038,2116,0,1,1500
10072,7,-34985,-11140,0,1,1000
10072,7,-25694,-12471,0,1,1000
10284,7,-19399,-1321,0,1,4500
10284,7,12800,-10742,0,1,3500
10282,7,14157,-7965,0,1,2500
10282,7,7864,-12567,0,1,1500
10282,7,-19056,-33429,0,1,1500
10108,7,-44616,-15162,0,1,2500
10109,7,-45450,-17625,0,1,2500
10109,7,-45812,-28570,0,1,2500
