Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10026,3,23757,-27019,0,5,3000
10001,3,23757,-27019,0,5,3000
10002,3,25548,-7964,0,5,3500
10003,3,22560,-10542,0,5,3500
10002,3,17354,-12929,0,5,3500
10004,3,9627,-16880,0,5,3500
10003,3,2091,-17335,0,5,3500
10004,3,-9041,-18321,0,5,3500
10003,3,-15644,-19694,0,5,3500
10004,3,-1627,-23063,0,5,3500
10003,3,7398,-9773,0,6,3800
10002,3,22037,823,0,6,4000
10000,3,354,20155,0,5,1500
10000,3,-1542,16718,0,5,1500
10002,3,4630,18637,0,5,3000
10002,3,9565,20224,0,5,3000
10003,3,10948,19262,0,5,3000
10003,3,6911,15980,0,5,3000
10001,3,9467,14460,0,5,3000
10003,3,14069,13141,0,5,3000
10004,3,10250,11011,0,5,3000
10001,3,9738,8444,0,5,3000
10004,3,13694,4763,0,5,3000
10001,3,17969,8905,0,5,3000
10003,3,18681,14636,0,5,3000
10004,3,10617,1642,0,5,3000
10026,3,10617,1642,0,5,3000
10004,3,9375,-2552,0,5,3000
10026,3,9375,-2552,0,5,3000
10004,3,5579,-1840,0,5,3000
10026,3,5579,-1840,0,5,3000
10004,3,3715,-7018,0,5,3000
10004,3,10250,11011,0,5,3000
10026,3,-216,-4143,0,5,3000
10027,3,-216,-4143,0,5,3000
10026,3,-4495,-5816,0,5,3000
10027,3,-4495,-5816,0,5,3000
10004,3,-10828,-4519,0,5,3000
10027,3,-10828,-4519,0,5,3000
10004,3,-13830,-5787,0,5,5000
10027,3,-13830,-5787,0,5,5000
10027,3,-21987,-2227,0,5,3000
