Id,MapId,Coords.x,Coords.y,Coords.z,Amount,Range
10005,2,6296,-55182,0,3,800
10005,2,17206,-49694,0,3,400
10008,2,-33817,-50949,0,9,8500
10009,2,-37620,-53893,0,8,8000
10010,2,-41506,-52265,0,9,8500
10008,2,-48596,-44438,0,9,9000
10007,2,-57124,-34148,0,8,8000
10010,2,-49932,-20349,0,9,9200
10006,2,-37739,-23945,0,9,8000
10008,2,-39572,-24596,0,9,8000
10010,2,-39815,-21980,0,8,8000
10010,2,-39815,-21980,0,9,8000
10011,2,-38688,-24248,0,1,250
10057,2,-38123,-37816,0,1,250
10260,2,34181,35780,0,1,250
10263,2,34181,35780,0,1,250
10261,2,31149,40019,0,1,300
10261,2,27668,48086,0,1,300
10263,2,27553,47415,0,1,300
10260,2,26720,47971,0,1,75
10261,2,35327,45852,0,1,100
10263,2,35832,45288,0,1,100
10263,2,41805,41376,0,2,150
10264,2,46604,36293,0,1,100
10263,2,40047,34353,0,1,100
10260,2,40047,34353,0,1,100
10261,2,42778,26315,0,2,50
10263,2,28643,29938,0,1,20
10261,2,27577,28497,0,2,75
10262,2,30175,22849,0,2,125
10303,2,6504,39998,0,2,250
10303,2,-2410,56065,0,2,500
10030,2,-301,56981,0,1,50
10030,2,-4093,55709,0,1,50
10031,2,-11048,49832,0,1,50
10307,2,-9313,48116,0,3,600
10031,2,-10627,41651,0,1,50
10031,2,-11787,34865,0,1,50
10303,2,-12139,37286,0,4,1000
10028,2,-26984,37873,0,2,1500
10029,2,-24794,34207,0,3,1500
10028,2,-26216,35125,0,2,1500
10304,2,-16189,29319,0,1,50
10030,2,-15502,29905,0,1,50
10031,2,-17708,23810,0,1,50
10304,2,-18799,23704,0,1,50
10304,2,-30282,29974,0,1,50
10308,2,-33130,29097,0,1,50
10030,2,-45303,31200,0,1,50
10030,2,-44066,26401,0,1,50
10030,2,-38089,25883,0,1,75
10030,2,-40133,28794,0,1,50
10303,2,-38375,27156,0,1,50
10304,2,-38911,27933,0,1,50
10304,2,-43310,25619,0,1,50
10308,2,-44624,26822,0,1,50
10308,2,-51528,28828,0,1,50
10303,2,-50243,28280,0,1,50
10303,2,-58367,26400,0,1,50
10317,2,-57883,22006,0,1,50
10315,2,-55617,39035,0,1,50
10308,2,-52371,37847,0,1,50
10304,2,-52803,38693,0,1,50
10031,2,-51989,34517,0,1,50
10031,2,-52758,28279,0,1,50
10030,2,-39030,35701,0,1,50
10304,2,-37608,12096,0,3,1500
10303,2,-49467,15794,0,3,1500
10261,2,25715,38136,0,2,500
10031,2,-38108,21199,0,1,800
10031,2,-43876,13298,0,5,8500
10303,2,-43959,12795,0,5,8500
10303,2,-54648,32416,0,5,8500
10015,2,-4680,-46112,0,3,2500
10031,2,-12824,25985,0,1,750
10002,2,42308,-33098,0,2,3000
10003,2,42308,-33098,0,2,3000
10002,2,39122,-32028,0,2,3000
10003,2,39122,-32028,0,2,3000
10003,2,35015,-30064,0,2,3000
10003,2,39159,-27673,0,2,3000
10004,2,39159,-27673,0,3,3000
10027,2,42308,-33098,0,3,3000
10027,2,39122,-32028,0,3,3000
10027,2,35015,-30064,0,3,3000
10027,2,39159,-27673,0,3,3000
10004,2,40723,-20462,0,5,3000
10027,2,36740,-21142,0,5,3000
10004,2,33937,-25573,0,5,3000
10015,2,30624,-33408,0,5,3000
10016,2,30624,-33408,0,5,3000
10015,2,28313,-37641,0,5,3000
10016,2,28313,-37641,0,5,3000
10016,2,26736,-41586,0,5,3000
10005,2,37522,-17044,0,5,3000
10005,2,40690,-13559,0,5,3000
10005,2,35859,-10398,0,5,3000
10005,2,37781,-6345,0,5,3000
10005,2,39145,-3034,0,5,3000
10005,2,36117,1433,0,5,3000
10005,2,38880,6086,0,5,3000
10017,2,26561,-11661,0,5,3000
10021,2,25995,-8461,0,5,3000
10017,2,23465,-2519,0,5,3000
10005,2,19329,-11745,0,5,3000
10005,2,13077,-7883,0,5,3000
10005,2,8937,-3712,0,5,3000
10005,2,3557,-7295,0,5,3000
10018,2,-330,1796,0,5,3000
10018,2,2053,4812,0,5,3000
10021,2,7538,5393,0,5,3000
10021,2,12439,5973,0,5,3000
10021,2,395,-19449,0,5,3000
10018,2,395,-19449,0,5,3000
10017,2,3582,-22160,0,5,3000
10017,2,7665,-23639,0,3,3000
10022,2,7665,-23639,0,3,3000
10012,2,25180,-30956,0,5,3000
10013,2,23706,-36184,0,5,3000
10014,2,22681,-41787,0,5,3000
10016,2,20854,-44759,0,5,3000
10016,2,15807,-45592,0,5,3000
10016,2,10013,-45240,0,5,3000
10016,2,1946,-43753,0,5,3000
10005,2,2090,-51652,0,5,3000
10005,2,6903,-50423,0,5,3000
10005,2,13117,-52217,0,5,3000
10044,2,9910,-31215,0,3,5000
10045,2,9910,-31215,0,3,5000
10046,2,9910,-31215,0,3,5000
10047,2,9910,-31215,0,3,5000
10048,2,9910,-31215,0,3,5000
10045,2,3893,-33481,0,3,5000
10046,2,3893,-33481,0,3,5000
10047,2,3893,-33481,0,3,5000
10048,2,3893,-33481,0,3,5000
10045,2,-1363,-31026,0,3,5000
10047,2,-1363,-31026,0,3,5000
10049,2,-1363,-31026,0,3,5000
10047,2,-5667,-28586,0,3,5000
10049,2,-5667,-28586,0,3,5000
10045,2,-10355,-32491,0,3,5000
10047,2,-10355,-32491,0,3,5000
10049,2,-10355,-32491,0,3,5000
10041,2,-15998,-32131,0,3,8000
10042,2,-15998,-32131,0,3,8000
10043,2,-15998,-32131,0,3,8000
10050,2,-15998,-32131,0,3,8000
10051,2,-15998,-32131,0,3,8000
10051,2,-17019,-42554,0,3,8000
10041,2,-17019,-42554,0,3,8000
10054,2,-25046,-40113,0,3,8000
10055,2,-25046,-40113,0,3,8000
10055,2,-21942,-31972,0,3,8000
10054,2,-21942,-31972,0,3,8000
10054,2,-16572,-22802,0,3,8000
10055,2,-16572,-22802,0,3,8000
10055,2,-19311,-11013,0,3,8000
10054,2,-19311,-11013,0,3,8000
10054,2,-20400,-5765,0,3,8000
10055,2,-20400,-5765,0,3,8000
10055,2,-26146,-6880,0,3,8000
10054,2,-26146,-6880,0,3,8000
10054,2,-32354,-9817,0,3,8000
10055,2,-32354,-9817,0,3,8000
10055,2,-46908,-6446,0,3,8000
10054,2,-46908,-6446,0,3,8000
10055,2,-51499,-1603,0,3,8000
10056,2,-54631,-1315,0,1,3000
10260,2,40166,13340,0,3,3000
10262,2,40166,13340,0,3,3000
10261,2,39303,18541,0,3,3000
10263,2,39303,18541,0,3,3000
10260,2,38197,24749,0,3,3000
10263,2,38197,24749,0,2,1500
10261,2,35025,28081,0,2,1500
10042,2,8267,16485,0,3,8000
10043,2,8267,16485,0,3,8000
10043,2,986,17682,0,3,8000
10042,2,986,17682,0,3,8000
10042,2,-11217,11249,0,3,8000
10043,2,-11217,11249,0,3,8000
10043,2,-16549,8862,0,3,8000
10042,2,-16549,8862,0,3,8000
10052,2,-10651,11627,0,3,8000
10053,2,-10651,11627,0,3,8000
10052,2,-2948,16434,0,3,8000
10053,2,-2948,16434,0,3,8000
10052,2,4550,20085,0,3,8000
10053,2,4550,20085,0,3,8000
10052,2,13034,19486,0,3,8000
10053,2,13034,19486,0,3,8000
10042,2,13034,19486,0,3,8000
10041,2,13034,19486,0,3,8000
10034,2,14358,27798,0,3,8000
10035,2,14358,27798,0,3,8000
10035,2,15480,32081,0,3,8000
10034,2,15514,32623,0,3,8000
10034,2,15854,35486,0,3,8000
10035,2,15854,35486,0,3,8000
10035,2,16311,41664,0,3,5000
10034,2,16311,41664,0,3,5000
10034,2,16386,50124,0,3,5000
10035,2,16386,50124,0,3,5000
10035,2,-23492,5840,0,3,8000
10034,2,-23492,5840,0,3,8000
10034,2,-25036,3700,0,3,8000
10035,2,-25036,3700,0,3,8000
10034,2,-29466,2141,0,3,8000
10035,2,-29466,2141,0,3,8000
10035,2,-34393,-643,0,3,8000
10034,2,-34393,-643,0,3,8000
10034,2,-40660,-1174,0,3,8000
10035,2,-40660,-1174,0,3,8000
10035,2,-48989,-1161,0,3,8000
10030,2,6896,39541,0,3,8000
10307,2,6468,40543,0,3,8000
10307,2,5930,47224,0,3,5000
10303,2,5930,47224,0,2,3000
10303,2,2432,51810,0,2,3000
10307,2,-1436,52934,0,2,8000
10308,2,-3469,53092,0,2,8000
10304,2,-3469,53092,0,2,8000
10030,2,-6358,51307,0,3,8000
10031,2,-6358,51307,0,3,8000
10031,2,-8959,46531,0,3,8000
10030,2,-8959,46531,0,3,8000
10307,2,-8959,46531,0,3,8000
10308,2,-8959,46531,0,3,8000
10303,2,-8959,46531,0,3,8000
10304,2,-8959,46531,0,3,8000
10319,2,-9021,45511,0,1,3000
10304,2,-7289,43307,0,3,8000
10303,2,-7289,43307,0,3,8000
10307,2,-7289,43307,0,3,8000
10308,2,-7289,43307,0,3,8000
10030,2,-7289,43307,0,3,8000
10031,2,-7289,43307,0,3,8000
10058,2,-17987,-26045,0,1,5000
10048,2,21734,-20601,-1260,5,5000
10048,2,20814,-21445,-1512,5,5000
10048,2,20696,-23298,-1572,5,5000
10048,2,18176,-22056,-1413,5,5000
10048,2,17425,-25786,-1351,5,5000
10048,2,15420,-30962,-1417,5,5000
10048,2,13452,-36194,-1087,5,5000
10048,2,-9191,-29675,-851,5,5000
10048,2,-11368,-29675,-1283,5,5000
10048,2,-1483,-32290,-1669,5,5000
10048,2,-18044,-28221,-1532,5,5000
10048,2,-20649,-34411,-1546,5,5000
10048,2,-21555, -39251, -1144,5,5000
10048,2,-21259, -45580, -950,5,5000
10048,2,-20187, -50813, -1082,5,5000
10048,2,-20458, -56689, -1632,5,5000
10048,2,-11688, -61266, -1272,5,5000
10047,2,21734,-20601,-1260,5,5000
10047,2,20814,-21445,-1512,5,5000
10047,2,20696,-23298,-1572,5,5000
10047,2,18176,-22056,-1413,5,5000
10047,2,17425,-25786,-1351,5,5000
10047,2,15420,-30962,-1417,5,5000
10047,2,13452,-36194,-1087,5,5000
10047,2,-9191,-29675,-851,5,5000
10047,2,-11368,-29675,-1283,5,5000
10047,2,-1483,-32290,-1669,5,5000
10047,2,-18044,-28221,-1532,5,5000
10047,2,-20649,-34411,-1546,5,5000
10047,2,-21555, -39251, -1144,5,5000
10047,2,-21259, -45580, -950,5,5000
10047,2,-20187, -50813, -1082,5,5000
10047,2,-20458, -56689, -1632,5,5000
10047,2,-11688, -61266, -1272,5,5000
10044,2,21734,-20601,-1260,5,5000
10044,2,20814,-21445,-1512,5,5000
10044,2,20696,-23298,-1572,5,5000
10044,2,18176,-22056,-1413,5,5000
10044,2,17425,-25786,-1351,5,5000
10044,2,15420,-30962,-1417,5,5000
10044,2,13452,-36194,-1087,5,5000
10044,2,-9191,-29675,-851,5,5000
10044,2,-11368,-29675,-1283,5,5000
10044,2,-1483,-32290,-1669,5,5000
10044,2,-18044,-28221,-1532,5,5000
10044,2,-20649,-34411,-1546,5,5000
10044,2,-21555, -39251, -1144,5,5000
10044,2,-21259, -45580, -950,5,5000
10044,2,-20187, -50813, -1082,5,5000
10044,2,-20458, -56689, -1632,5,5000
10044,2,-11688, -61266, -1272,5,5000

