MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
20,2846.604,4737.22,7703.71,1015,0,34056,Hozent Byain
20,-3617.427,10479.71,7847.27,1016,0,38048,Siglet Jungteibe
20,-6422.19,6986.875,7636.413,1017,0,54032,Raid_Nifingr
20,-6422.19,6986.875,7636.413,1017,0,54032,Raid_Nifingr
20,-6850.665,6306.178,7641,1018,0,65192,Netyr Rid
20,10938.25,3455.197,7623.832,1019,0,49496,Harot Sabirine
20,-13576.58,-18460.62,9514.544,1020,0,37840,Migo Alfred
20,10300.48,2336.631,7591.244,1101,0,6920,AstorEim
20,-11545.33,-20103.46,9570.605,1102,0,29472,OphelIconium
20,-1712.38,-2.644,8450.742,1104,0,4312,Hugo Helfried
20,859.03,4063.677,7510.375,1105,0,41368,HelgiPhilippus
20,-11108,-9897,9320,1106,0,-37488,AnglachelFalchion
20,-3240.446,-22469.85,9553.737,1110,0,7136,Rhegium Dor
20,-21322,-21779,9505.409,1111,0,0,MessahGath
20,5738.246,4560.158,7618.372,1239,0,24896,LetteEir
20,5742.148,4860.125,7626.833,1240,0,45200,MeilianLindi
20,5364.583,4827.645,7615.648,1241,0,432,NokkbiKarl
20,-4865.782,-22991.48,9812.041,1242,0,18584,HoondMakkus
20,-5357.803,-22558.97,9799.584,1243,0,64656,Ruis Lainmeire
20,-12796,-13430,9520,1244,0,30424,WittMaxen
20,-12805,-13255,9504,1245,0,37592,Angelinne
20,-11597.38,-20612.74,9574.605,1246,0,25136,GromwellBartus
20,-1951.656,-19636.94,9473.737,1247,0,33496,TarosMaskald
20,-19932.81,-15486.33,11061.38,1250,0,27520,Eglon
20,-21321,-24248,9560.208,1250,0,0,Eglon
20,-4628.54,-18147.66,9623,1250,0,44000,Eglon
20,1243.598,11842.24,7840.354,1250,0,39256,Eglon
20,1467.062,3475.829,7514.599,1250,0,40744,Eglon
20,12894.94,92.068,7539.162,1250,0,35232,Eglon
20,15180.88,5048.409,7892.354,1250,0,50848,Eglon
20,16738.45,2945.395,7558.057,1250,0,26552,Eglon
20,6117.395,7929.896,7688.312,1250,0,42944,Eglon
20,9261.416,13857.5,6174.128,1250,0,31192,Eglon
20,-6943.685,-21892.22,9528.584,1307,0,10584,Noah Stauffer
20,2723.437,419.066,7560.742,1308,0,10504,Elias Rasch
20,-14128.66,-19805.42,9427.544,1316,0,17272,ClairLyster
20,-860.531,6225.675,7462.375,1327,0,50264,Marlay
20,-1538.256,8503.796,7650.375,1328,0,54904,Nickel
20,-5303.824,4046.333,7549,1329,0,44816,Yankivic
20,-2659.277,1736.927,8429,1330,0,21720,Jericho
20,-6554.665,2770.177,7593,1331,0,65192,Colin
20,-16900.04,-17758.79,9707.544,1332,0,40160,Hera
20,-17553.19,-19847.67,9507.544,1333,0,8064,Jasmine
20,-15783.66,-19501.22,9475.544,1334,0,6576,Kyra
20,-18780.56,-18939.91,9707.544,1335,0,64416,Eppie
20,-18765.63,-20796.95,9459.544,1336,0,12680,Olive
