MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
15,34143.8,-25935.78,-5200.784,1028,0,15592,Aili Weller
15,36510.54,-15962.06,-5241.041,1123,0,25840,Binta Granger
15,30450.71,-18228.69,-5772.02,1187,0,-3968,Sandor
15,41205.24,-21330.33,-5222.291,1199,0,27616,Lia
15,693,23840,-7667.944,1219,0,60000,Jerad
15,-44.001,-10.245,-10624.24,1232,0,0,Mark Olin
15,-36448,-7904,-8064,1301,0,1216,Raleigh Homer
15,31083.94,-13323.69,-5842.083,1302,0,6080,Scott Lawrence
15,7550,30275,-7953,1303,0,58920,Chester Cook
15,39361.48,54615.02,-9511.632,1208,0,40392,
15,31405.37,43229.41,-9788.817,1113,0,34440,
15,45700.32,14779,-8803.825,1116,0,35488,
