MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
12,1174,-17256,5797,1022,0,60300,Cheyenne Yule
12,-8408,-34514,6913,1024,0,27555,Pretan Cornit
12,-8991,-15307,6295,1053,0,-5671,Jurgen Hartevelt
12,-7713,-14312,6294,1054,0,44001,Alina Meiwes
12,6965,-21167.73,6176,1057,0,-4936,Alix Reed
12,8105.971,-21332.83,6144,1058,0,-21304,Heidi Bath
12,-7214,-22228,6112,1127,0,11488,Mastis
12,7444.252,-4087.072,5312,1177,0,11312,Rita
12,2132.833,-25868.89,6112,1180,0,11256,Otto
12,4934,-17852,5756,1182,0,27527,Mikel
12,7198.916,-26377.71,6112,1183,0,-25328,Tilo
12,3725.916,-19434.18,5702.666,1184,0,24856,Artnaf
12,6945.431,-19532,5728,1192,0,11528,Bruger
12,-1280,-20640,6144,1196,0,-21760,Anche
12,1900,-12717,5144,1197,0,10887,Silvia
12,-10265.61,-33205.69,6048,1200,0,11184,Heinz Schtufelt
12,-7908,-31890,6784,1201,0,11640,Jojeff Hofman
12,-2594,-8344,5165,1202,0,51653,Lungberk
12,7577.642,-10922.93,5267.399,1203,0,-21224,Claus
12,-9347.107,-33926.07,6050.417,1211,0,27856,Holstein
12,7273.712,-15505.71,5109.176,1230,0,28080,Rossen Bice
12,-9559,-30578,6814,1297,0,2568,Benjamin Meier
12,-1877.781,-23669.65,6144,1317,0,11256,Coil
12,2379.258,-23243.21,6144,1319,0,43736,Malena
12,-2778.961,-23239.48,6144,1321,0,11256,Torres
