MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
24,13133.65,-43139.8,-23440,1251,0,7736,Negus Tradjie
24,12437.05,-42214.95,-23408.23,1252,0,1984,Konze
24,17842.39,-41731.41,-23370.82,1253,0,34608,Gogonyak
24,14380.84,-45674.2,-23379.23,1254,0,16600,Roy
24,-39545,21254,-21981,1256,0,18616,Mysterious Cat
24,18055.26,-43464.78,-23377.5,1257,0,30584,Emmental Cole
24,17093.5,-41365.86,-23357.82,1258,0,45120,Pablo
24,15540.2,-45664.82,-23326.24,1259,0,14464,Kareem Abdul
24,16351.28,-44780.05,-23330.8,1260,0,29136,Nanna Etan
24,15898.12,-45083.65,-23313.3,1261,0,15536,Irpa
24,15099.56,-43583.89,-23331.61,1262,0,51008,Dubaba
24,14648.41,-43152.62,-23341.52,1263,0,36304,Latzi Yobb
24,16818.46,-44283.5,-23339.22,1264,0,19784,Latti Yobb
24,11624.67,-39183.18,-23671.41,1265,0,18568,Pritz Leodolf
24,13265.33,-38406.15,-23758.81,1266,0,23528,Victor Hajelm
24,15699.67,-40081.03,-23381.08,1267,0,40888,Ercert
24,15707.83,-45652.36,-23345.3,1268,0,19840,Yordi
24,11878.71,-40575.3,-23494.78,1304,0,3328,Mulder Louth
24,-40603.91,678.914,-19784.29,1305,0,31208,Ivan Moulton
24,7461,15753,-24992,1306,0,36320,Emile Skinner
24,13247.49,-44070.02,-23418.14,1322,0,5216,
24,15319.09,-44361.55,-23346.82,1323,0,31240,
24,14623.83,-42302,-23390.61,1324,0,31240,
24,15955.12,-42064.77,-23406.61,1325,0,456,
24,17007.17,-42268.59,-23402.61,1326,0,25504,
24,15070.02,-39264.02,-23425.08,1343,0,43104,
