MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
5,11616,69760,5194,1006,0,9232,Mainhared Anselm
5,22528.01,88672.01,5120,1007,0,32768,Magnet Wihelmina
5,16287.99,94272,4192,1008,0,8232,Mr. Pitt
5,40352,83039.99,6358,1009,0,35168,Volker Stanwood
5,9752,75223.98,5108,1010,0,232,Regina Salisbury
5,17664,74272,5044,1011,0,49768,HolGran
5,13937.67,74909.2,5036.054,1012,0,17232,Monika Reynolds
5,20448,68512.01,5028,1013,0,32768,Pelshia Hiltrud
5,14032,-347,13233,1014,0,16500,Joachim Tristan
5,13497,78968.98,5081,1050,0,16132,Heinrich Hansel
5,14783.99,78975.99,5088,1051,0,32768,Nikki Rozense
5,9512,86979,4193,1055,0,32768,Oscar Eatone
5,9503,85988,4192,1056,0,32768,Emma Whitlef
5,17119.99,92288,5024,1069,0,14232,Seraphina Falke
5,17344,92287.99,5024,1070,0,19232,Vanda Acton
5,16064,73503.98,5014,1071,0,32768,Irma Swane
5,13120,43296,9561,1072,0,14232,Bonifaz Knapp
5,14043,13242,13282,1073,0,81804,Toska Alden
5,13985,27142,13274,1074,0,81768,Zilbert Huntington
5,14528,66464,5024,1075,0,16232,Nado Archibald
5,12448,79680.01,5056,1076,0,36768,Zoschka Whiting
5,12480,79039.99,5056,1077,0,27232,Magnilda Haswell
5,19920.7,90323.2,5056,1078,0,65400,Ludwig Frisby
5,13645.22,74911.82,5040.054,1083,0,17232,Aronos Dodd
5,7936,50400,9152,1084,0,64768,Carlo Gifford
5,9241,24076,16313,1085,0,88,Kurt Stover
5,40383.99,83004,3773,1090,0,232,Pikas Wibert
5,40351.98,82983.99,1017,1091,0,17232,Trusa Ralph
5,13107.99,98984,4193,1093,0,16432,Binta Heaton
5,14752,98975.98,4192,1094,0,16432,Prado Alden
5,2054,85383,4283,1096,0,379,Zipu Hanse
5,21668,7200,13318,1151,0,16500,Sophie Tristan
5,6592,92607.98,4192,1156,0,56768,Miu
5,16700,87883.98,5440,1158,0,49368,Egon
5,9984,79999.98,5056,1159,0,58768,Ditrahel
5,9087.994,90783.98,4192,1160,0,35768,Paskel
5,21984,85439.98,5056,1161,0,32768,Rekard
5,11840,84255.98,5024,1162,0,1232,Anne
5,20032,81984,5056,1163,0,60768,Polix
5,15475.87,67344.33,5063.054,1223,0,20200,Mayer
5,6727.866,88722.14,4205,1229,0,59000,Elisa
5,14818.7,43329.3,9593,1279,0,18896,Dave maul
5,13804.94,76914.61,5094.054,1280,0,49104,Joaquin Baumann
5,39252.1,82494.95,6421,1281,0,31184,Gabor Klein
5,12092.35,101706.4,4188.208,1282,0,56776,Willhelm Howke
5,-27198,-33929,-970,1283,0,16376,FredyFink
5,12376.13,94632.8,4224,1314,0,19208,Theon Stratos
