MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
6,22528,-33632,-4064,1068,0,33736,Quadro Mann
6,-41474,-27485,-27485,1079,0,-8432,Lothair Eaton
6,-7360,-3904,180,1080,0,9008,Achim
6,-10799,22436,1702,1081,0,-21624,Mitzi
6,-24992,-2176,-3218,1082,0,0,Sabena Denton
6,-29860,4500,1082,1089,0,0,Hanne William
6,18432,-35936,-4014.958,1099,0,23064,Orak Edith
6,-47520,-49440,3094,1152,0,0,Helena
6,46020,-51421,2698,1153,0,37112,Reymond
6,22336,-32352,-4064,1164,0,0,Nernst
6,34424,-8720,-4222,1215,0,41536,Adrian
6,-27198.79,-33929,-970.342,1283,0,16376,Fredy Fink
6,-43231.84,12359.21,1474.263,1284,0,8232,Poal Blumfeld
6,-3716,2222,-404,1285,0,21312,Sam Ramon
6,32244.22,42204.03,-5002.056,1286,0,42016,Jason Quincy
6,21057.57,-33607.57,-4222.131,1287,0,33784,Dick Henry
6,33197,-31890,-4542,50002,0,50000,Ship to Hodemimes
6,35894,-36471,-4402,50003,0,50000,Ship to Cognito
