MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
1,-12092,-6490,-8284,1000,0,-9232,Misha Berardini
1,-3680,-5008,-8045,1001,0,38000,Klaret Natali se Pruysenaere
1,1460,-13664,-6472,1002,0,1000,Shelphy Adriana
1,12484,-15132,-4779,1003,0,48000,Scacciano Morrigan
1,4672,9792,-9472,1004,0,52000,Averro Reinhold
1,-1216,3328,-10144,1005,0,11000,Zarko Ruzolli
1,-6948,-9448,-7149,1049,0,28000,Miroslav Baum
1,2444,-14936,-6437,1059,0,25000,Alfons Marsh
1,-12520,-3044,-9223,1062,0,18000,Ivo Stover
1,352,-10880,-6577,1065,0,-12400,Arolas Botolph
1,8256,1408,-7968,1067,0,20000,Vester Ling
1,11936,8160,-9984,1165,0,17500,Clerd
1,1728,-2016,-8640,1166,0,60000,Knightdagger
1,7648,-12576,-5952,1167,0,30000,Nolang
1,-4380,2658,-10100,1168,0,52000,Denev
1,-224,-3904,-8544,1170,0,13000,Eind
1,-913,-13993,-6464,1226,0,6208,Tevez West
1,836,-15182,-6394,1228,0,12520,Menno Buckstone
1,-11570.44,-1312.455,-6616,1272,0,47008,Erskine Lyndon
1,2697.773,-12043.95,-6616,1273,0,6760,Martin Yaw
1,3485.777,4884.801,-9812,1274,0,26948,Chris Seidel
1,-450.116,-12364.88,-6394.437,1313,0,0,Mei-ryn
