MapId,Coords.x,Coords.y,Coord.z,ModelId,IsActionObject,Yaw,
2,-4768,-15392,344,1060,0,1000,Sigiswald Mann
2,-47181,-31652,5045,1066,0,19608,Kundi Dunstan
2,-3392,-1344,138,1143,0,0,Adria Sill
2,38240,12608,3543,1144,0,0,Donas
2,-5440,-14208,344,1171,0,34000,Teos
2,38300,-27196,3504,1214,0,0,Riam
2,-42735,-32162,6118,1275,0,45120,Hault Montgomery
2,42255,-31241,3862,1276,0,-26384,Xeno Miller
2,-27408,36094,4217,1277,0,3984,Frank Burbley
2,-2119,-15122,202,1278,0,1000,XenoMiller
2,-8053,-11460,850,50001,0,0,Ship to prontera
